tier,speaker,start,stop,dur,val
CHI,NA,7540,9940,2400,0.
CHI,NA,10980,11480,500,0.
CHI,NA,13180,13500,320,0.
CHI,NA,15220,15980,760,0.
CHI,NA,16630,17240,610,0.
CHI,NA,19565,20115,550,0.
CHI,NA,20900,21310,410,NO-HAY-PALABRAS
CHI,NA,25055,25315,260,0.
CHI,NA,25645,26335,690,0.
CHI,NA,32093,32423,330,NO-HAY-PALABRAS
CHI,NA,50388,52053,1665,0.
CHI,NA,53663,55383,1720,0.
CHI,NA,60373,60773,400,0.
CHI,NA,61333,62513,1180,0.
CHI,NA,71593,72213,620,0.
CHI,NA,76283,76803,520,0.
CHI,NA,88513,88833,320,0.
CHI,NA,89373,89673,300,0.
CHI,NA,101063,101423,360,0.
CHI,NA,101643,102243,600,0.
CHI,NA,102423,103133,710,NO-HAY-PALABRAS
CHI,NA,103268,103538,270,NO-HAY-PALABRAS
CHI,NA,114351,114722,371,0.
CHI,NA,120363,120683,320,0.
CHI,NA,122313,122753,440,0.
CHI,NA,159508,160938,1430,0.
CHI,NA,162663,164093,1430,0.
CHI,NA,166988,167318,330,0.
CHI,NA,171393,171913,520,0.
CHI,NA,242944,243724,780,NO-HAY-PALABRAS
CHI,NA,243984,244364,380,NO-HAY-PALABRAS
CHI,NA,244564,245344,780,NO-HAY-PALABRAS
CHI,NA,259964,262214,2250,NO-HAY-PALABRAS
CHI,NA,262269,264190,1921,NO-HAY-PALABRAS
CHI,NA,275094,275474,380,NO-HAY-PALABRAS
CHI,NA,277374,277914,540,0.
CHI,NA,291559,291989,430,0.
comentarios,NA,10980,11480,500,puede ser una hermana mayor?
comentarios,NA,50388,52045,1657,puede ser una hermana mayor?
comentarios,NA,171393,171913,520,puede ser una hermana mayor?
tlsp@CHI,NA,7540,9940,2400,0.
tlsp@CHI,NA,10980,11480,500,0.
tlsp@CHI,NA,13180,13500,320,0.
tlsp@CHI,NA,15220,15980,760,0.
tlsp@CHI,NA,16630,17240,610,0.
tlsp@CHI,NA,19565,20115,550,0.
tlsp@CHI,NA,25055,25315,260,0.
tlsp@CHI,NA,25645,26335,690,0.
tlsp@CHI,NA,50388,52053,1665,0.
tlsp@CHI,NA,53663,55383,1720,0.
tlsp@CHI,NA,60373,60773,400,0.
tlsp@CHI,NA,61333,62513,1180,0.
tlsp@CHI,NA,71593,72213,620,0.
tlsp@CHI,NA,76283,76803,520,0.
tlsp@CHI,NA,88513,88833,320,0.
tlsp@CHI,NA,89373,89673,300,0.
tlsp@CHI,NA,101063,101423,360,0.
tlsp@CHI,NA,101643,102243,600,0.
tlsp@CHI,NA,114351,114722,371,0.
tlsp@CHI,NA,120363,120683,320,0.
tlsp@CHI,NA,122313,122753,440,0.
tlsp@CHI,NA,159508,160938,1430,0.
tlsp@CHI,NA,162663,164093,1430,0.
tlsp@CHI,NA,166988,167318,330,0.
tlsp@CHI,NA,171393,171913,520,0.
tlsp@CHI,NA,277374,277914,540,0.
tlsp@CHI,NA,291559,291989,430,0.
OTR,NA,11130,14060,2930,0.
OTR,NA,18350,19590,1240,0.
OTR,NA,20175,21065,890,0.
OTR,NA,21255,24885,3630,0.
OTR,NA,69990,71480,1490,0.
OTR,NA,115460,116770,1310,0.
OTR,NA,118160,120230,2070,0.
OTR,NA,120648,121908,1260,0.
OTR,NA,124988,125738,750,0.
OTR,NA,154598,156358,1760,0.
OTR,NA,166000,167030,1030,0.
OTR,NA,168830,170850,2020,0.
OTR,NA,172315,173315,1000,0.
OTR,NA,246490,248970,2480,0.
OTR,NA,272855,274985,2130,0.
quien@OTR,NA,11130,14060,2930,mujer.
quien@OTR,NA,18350,19590,1240,mujer.
quien@OTR,NA,20175,21065,890,mujer.
quien@OTR,NA,21255,24885,3630,mujer.
quien@OTR,NA,69990,71480,1490,niña.
quien@OTR,NA,115460,116770,1310,niña.
quien@OTR,NA,118160,120230,2070,niña.
quien@OTR,NA,120648,121908,1260,niña.
quien@OTR,NA,124988,125738,750,niña.
quien@OTR,NA,154598,156358,1760,niña.
quien@OTR,NA,166000,167030,1030,niña.
quien@OTR,NA,168830,170850,2020,niña.
quien@OTR,NA,172315,173315,1000,niña.
quien@OTR,NA,246490,248970,2480,mujer.
quien@OTR,NA,272855,274985,2130,mujer.
tlsp@OTR,NA,11130,14060,2930,0.
tlsp@OTR,NA,18350,19590,1240,0.
tlsp@OTR,NA,20175,21065,890,0.
tlsp@OTR,NA,21255,24885,3630,0.
tlsp@OTR,NA,69990,71480,1490,0.
tlsp@OTR,NA,115460,116770,1310,0.
tlsp@OTR,NA,118160,120230,2070,0.
tlsp@OTR,NA,120648,121908,1260,0.
tlsp@OTR,NA,124988,125738,750,0.
tlsp@OTR,NA,154598,156358,1760,0.
tlsp@OTR,NA,166000,167030,1030,0.
tlsp@OTR,NA,168830,170850,2020,0.
tlsp@OTR,NA,172315,173315,1000,0.
tlsp@OTR,NA,246490,248970,2480,0.
tlsp@OTR,NA,272855,274985,2130,0.
