tier,speaker,start,stop,dur,val
CHI,NA,1780,2330,550,NO-HAY-PALABRAS
CHI,NA,2390,6840,4450,NO-HAY-PALABRAS
CHI,NA,7650,11790,4140,NO-HAY-PALABRAS
CHI,NA,12220,14890,2670,NO-HAY-PALABRAS
CHI,NA,15025,18335,3310,NO-HAY-PALABRAS
CHI,NA,18920,22940,4020,NO-HAY-PALABRAS
CHI,NA,23640,23810,170,NO-HAY-PALABRAS
CHI,NA,25365,28575,3210,NO-HAY-PALABRAS
CHI,NA,28820,30670,1850,NO-HAY-PALABRAS
CHI,NA,30725,32285,1560,NO-HAY-PALABRAS
CHI,NA,33015,36035,3020,NO-HAY-PALABRAS
CHI,NA,36615,40695,4080,NO-HAY-PALABRAS
CHI,NA,41075,41955,880,NO-HAY-PALABRAS
CHI,NA,42315,45035,2720,NO-HAY-PALABRAS
CHI,NA,45225,47035,1810,NO-HAY-PALABRAS
CHI,NA,47280,49270,1990,NO-HAY-PALABRAS
CHI,NA,49345,51245,1900,NO-HAY-PALABRAS
CHI,NA,51445,53175,1730,NO-HAY-PALABRAS
CHI,NA,53390,54770,1380,NO-HAY-PALABRAS
CHI,NA,54870,55910,1040,NO-HAY-PALABRAS
CHI,NA,55990,58460,2470,NO-HAY-PALABRAS
CHI,NA,59715,60605,890,NO-HAY-PALABRAS
CHI,NA,60630,61950,1320,NO-HAY-PALABRAS
CHI,NA,61985,62205,220,NO-HAY-PALABRAS
CHI,NA,63005,63145,140,NO-HAY-PALABRAS
CHI,NA,63515,63725,210,NO-HAY-PALABRAS
CHI,NA,64680,67110,2430,NO-HAY-PALABRAS
CHI,NA,67425,67685,260,NO-HAY-PALABRAS
CHI,NA,68025,68285,260,NO-HAY-PALABRAS
CHI,NA,68845,69680,835,NO-HAY-PALABRAS
CHI,NA,70745,73915,3170,NO-HAY-PALABRAS
CHI,NA,74000,75940,1940,NO-HAY-PALABRAS
CHI,NA,76300,79900,3600,NO-HAY-PALABRAS
CHI,NA,80270,81840,1570,NO-HAY-PALABRAS
CHI,NA,82235,85415,3180,NO-HAY-PALABRAS
CHI,NA,85495,86215,720,NO-HAY-PALABRAS
CHI,NA,86945,87475,530,NO-HAY-PALABRAS
CHI,NA,87940,90950,3010,NO-HAY-PALABRAS
CHI,NA,91305,92895,1590,NO-HAY-PALABRAS
CHI,NA,93350,96460,3110,NO-HAY-PALABRAS
CHI,NA,98335,98725,390,NO-HAY-PALABRAS
CHI,NA,99180,100600,1420,NO-HAY-PALABRAS
CHI,NA,101400,104280,2880,NO-HAY-PALABRAS
CHI,NA,107103,108814,1711,NO-HAY-PALABRAS
CHI,NA,111113,112402,1289,NO-HAY-PALABRAS
CHI,NA,113712,114379,667,NO-HAY-PALABRAS
CHI,NA,114733,116733,2000,NO-HAY-PALABRAS
CHI,NA,119377,121833,2456,NO-HAY-PALABRAS
CHI,NA,122916,124449,1533,NO-HAY-PALABRAS
CHI,NA,128674,131229,2555,NO-HAY-PALABRAS
CHI,NA,132628,134428,1800,NO-HAY-PALABRAS
CHI,NA,135905,139361,3456,NO-HAY-PALABRAS
CHI,NA,140048,140471,423,NO-HAY-PALABRAS
CHI,NA,140888,143455,2567,NO-HAY-PALABRAS
CHI,NA,143998,144331,333,NO-HAY-PALABRAS
CHI,NA,144430,146452,2022,NO-HAY-PALABRAS
CHI,NA,146629,149463,2834,NO-HAY-PALABRAS
CHI,NA,150057,150234,177,NO-HAY-PALABRAS
CHI,NA,151656,153867,2211,NO-HAY-PALABRAS
CHI,NA,157547,160569,3022,NO-HAY-PALABRAS
CHI,NA,163480,165791,2311,NO-HAY-PALABRAS
CHI,NA,167712,169201,1489,NO-HAY-PALABRAS
CHI,NA,172811,174544,1733,NO-HAY-PALABRAS
CHI,NA,176599,179032,2433,NO-HAY-PALABRAS
CHI,NA,189703,191248,1545,NO-HAY-PALABRAS
CHI,NA,197986,199208,1222,NO-HAY-PALABRAS
CHI,NA,204748,206648,1900,NO-HAY-PALABRAS
CHI,NA,208084,210617,2533,NO-HAY-PALABRAS
CHI,NA,211649,214326,2677,NO-HAY-PALABRAS
CHI,NA,218102,219746,1644,NO-HAY-PALABRAS
CHI,NA,220712,223001,2289,NO-HAY-PALABRAS
CHI,NA,224167,226233,2066,NO-HAY-PALABRAS
CHI,NA,226766,229955,3189,NO-HAY-PALABRAS
CHI,NA,230560,230782,222,NO-HAY-PALABRAS
CHI,NA,231759,234737,2978,NO-HAY-PALABRAS
CHI,NA,235935,238190,2255,NO-HAY-PALABRAS
CHI,NA,238939,239184,245,NO-HAY-PALABRAS
CHI,NA,240649,243738,3089,NO-HAY-PALABRAS
CHI,NA,245234,247234,2000,NO-HAY-PALABRAS
CHI,NA,248711,250100,1389,NO-HAY-PALABRAS
CHI,NA,252480,252813,333,NO-HAY-PALABRAS
CHI,NA,254290,257523,3233,NO-HAY-PALABRAS
CHI,NA,260394,261606,1212,NO-HAY-PALABRAS
CHI,NA,266647,268458,1811,NO-HAY-PALABRAS
CHI,NA,270685,272540,1855,NO-HAY-PALABRAS
CHI,NA,277693,278882,1189,NO-HAY-PALABRAS
CHI,NA,280187,282942,2755,NO-HAY-PALABRAS
CHI,NA,286405,287605,1200,NO-HAY-PALABRAS
CHI,NA,289391,292613,3222,NO-HAY-PALABRAS
