tier,speaker,start,stop,dur,val
CHI,NA,66770,69230,2460,NO-HAY-PALABRAS
CHI,NA,69250,70520,1270,NO-HAY-PALABRAS
CHI,NA,70565,74075,3510,NO-HAY-PALABRAS
CHI,NA,80580,81020,440,NO-HAY-PALABRAS
CHI,NA,81960,84440,2480,NO-HAY-PALABRAS
CHI,NA,84530,85650,1120,0.
CHI,NA,85700,87010,1310,NO-HAY-PALABRAS
CHI,NA,87015,87875,860,NO-HAY-PALABRAS
CHI,NA,101705,102105,400,0.
CHI,NA,169705,170225,520,0.
CHI,NA,171405,171655,250,0.
CHI,NA,171870,172160,290,0.
CHI,NA,188355,189155,800,0.
CHI,NA,216925,217655,730,0.
CHI,NA,218660,219220,560,0.
CHI,NA,220630,221290,660,0.
CHI,NA,285260,286090,830,0.
CHI,NA,287495,288115,620,0.
CHI,NA,288135,288405,270,NO-HAY-PALABRAS
CHI,NA,289360,290870,1510,NO-HAY-PALABRAS
CHI,NA,291180,291795,615,0.
CHI,NA,299190,299890,700,NO-HAY-PALABRAS
comentarios,NA,66610,74120,7510,llorando.
comentarios,NA,85640,88430,2790,quejando.
tlsp@CHI,NA,84530,85650,1120,0.
tlsp@CHI,NA,101705,102105,400,0.
tlsp@CHI,NA,169705,170225,520,0.
tlsp@CHI,NA,171405,171655,250,0.
tlsp@CHI,NA,171870,172160,290,0.
tlsp@CHI,NA,188355,189155,800,0.
tlsp@CHI,NA,216925,217655,730,0.
tlsp@CHI,NA,218660,219220,560,0.
tlsp@CHI,NA,220630,221290,660,0.
tlsp@CHI,NA,285260,286090,830,0.
tlsp@CHI,NA,287495,288115,620,0.
tlsp@CHI,NA,291180,291795,615,0.
OTR,NA,99900,100970,1070,0.
OTR,NA,169740,170570,830,0.
OTR,NA,189210,191710,2500,0.
OTR,NA,192160,193450,1290,0.
OTR,NA,205050,206540,1490,0.
OTR,NA,217710,218660,950,0.
OTR,NA,219440,220460,1020,0.
OTR,NA,286150,287420,1270,0.
OTR,NA,288130,288840,710,0.
quien@OTR,NA,99900,100970,1070,mujer.
quien@OTR,NA,169740,170570,830,mujer.
quien@OTR,NA,189210,191710,2500,hombre.
quien@OTR,NA,192160,193450,1290,hombre.
quien@OTR,NA,205050,206540,1490,hombre.
quien@OTR,NA,217710,218660,950,mujer.
quien@OTR,NA,219440,220460,1020,mujer.
quien@OTR,NA,286150,287420,1270,mujer.
quien@OTR,NA,288130,288840,710,hombre.
tlsp@OTR,NA,99900,100970,1070,0.
tlsp@OTR,NA,169740,170570,830,0.
tlsp@OTR,NA,189210,191710,2500,0.
tlsp@OTR,NA,192160,193450,1290,0.
tlsp@OTR,NA,205050,206540,1490,0.
tlsp@OTR,NA,217710,218660,950,0.
tlsp@OTR,NA,219440,220460,1020,0.
tlsp@OTR,NA,286150,287420,1270,0.
tlsp@OTR,NA,288130,288840,710,0.
