tier,speaker,start,stop,dur,val
CHI,NA,9640,10610,970,0.
CHI,NA,13795,14835,1040,0.
CHI,NA,16765,17755,990,0.
CHI,NA,25550,26710,1160,0.
CHI,NA,28070,29270,1200,0.
CHI,NA,31680,32680,1000,0.
CHI,NA,34670,35680,1010,0.
CHI,NA,37525,37945,420,0.
CHI,NA,47665,50225,2560,0.
CHI,NA,50695,52075,1380,0.
CHI,NA,139305,140245,940,0.
CHI,NA,152355,154315,1960,0.
CHI,NA,157685,158035,350,0.
CHI,NA,192850,194430,1580,0.
CHI,NA,211820,212350,530,0.
CHI,NA,212535,214565,2030,0.
CHI,NA,215030,215290,260,NO-HAY-PALABRAS
CHI,NA,223710,224080,370,0.
CHI,NA,256845,257485,640,0.
CHI,NA,264785,266345,1560,0.
CHI,NA,275675,277495,1820,0.
CHI,NA,277855,279375,1520,0.
CHI,NA,290755,291275,520,NO-HAY-PALABRAS
CHI,NA,293355,294620,1265,0.
tlsp@CHI,NA,9640,10610,970,0.
tlsp@CHI,NA,13795,14835,1040,0.
tlsp@CHI,NA,16765,17755,990,0.
tlsp@CHI,NA,25550,26710,1160,0.
tlsp@CHI,NA,28070,29270,1200,0.
tlsp@CHI,NA,31680,32680,1000,0.
tlsp@CHI,NA,34670,35680,1010,0.
tlsp@CHI,NA,37525,37945,420,0.
tlsp@CHI,NA,47665,50225,2560,0.
tlsp@CHI,NA,50695,52075,1380,0.
tlsp@CHI,NA,139305,140245,940,0.
tlsp@CHI,NA,152355,154315,1960,0.
tlsp@CHI,NA,157685,158035,350,0.
tlsp@CHI,NA,192850,194430,1580,0.
tlsp@CHI,NA,211820,212350,530,0.
tlsp@CHI,NA,212535,214565,2030,0.
tlsp@CHI,NA,223710,224080,370,0.
tlsp@CHI,NA,256845,257485,640,0.
tlsp@CHI,NA,264785,266345,1560,0.
tlsp@CHI,NA,275675,277495,1820,0.
tlsp@CHI,NA,277855,279375,1520,0.
tlsp@CHI,NA,293355,294620,1265,0.
OTR,NA,38380,39780,1400,0.
OTR,NA,221980,223340,1360,0.
OTR,NA,226020,230570,4550,0.
OTR,NA,258820,260270,1450,0.
OTR,NA,267100,271070,3970,0.
OTR,NA,291682,293072,1390,0.
OTR,NA,294502,295572,1070,0.
quien@OTR,NA,38380,39780,1400,niña.
quien@OTR,NA,221980,223340,1360,niña.
quien@OTR,NA,226020,230570,4550,niña.
quien@OTR,NA,258820,260270,1450,niña.
quien@OTR,NA,267100,271070,3970,niña.
quien@OTR,NA,291682,293072,1390,niña.
quien@OTR,NA,294502,295572,1070,niña.
tlsp@OTR,NA,38380,39780,1400,0.
tlsp@OTR,NA,221980,223340,1360,0.
tlsp@OTR,NA,226020,230570,4550,0.
tlsp@OTR,NA,258820,260270,1450,0.
tlsp@OTR,NA,267100,271070,3970,0.
tlsp@OTR,NA,291682,293072,1390,0.
tlsp@OTR,NA,294502,295572,1070,0.
