tier,speaker,start,stop,dur,val
CHI,NA,1050,1620,570,0.
CHI,NA,4800,5180,380,0.
CHI,NA,8910,9230,320,0.
CHI,NA,9790,10410,620,0.
CHI,NA,11920,12610,690,0.
CHI,NA,15755,16575,820,0.
CHI,NA,18725,19005,280,0.
CHI,NA,19515,20135,620,0.
CHI,NA,22060,22830,770,0.
CHI,NA,25845,26125,280,0.
CHI,NA,26865,27935,1070,0.
CHI,NA,29500,29850,350,0.
CHI,NA,32065,33365,1300,NO-HAY-PALABRAS
CHI,NA,48245,48965,720,NO-HAY-PALABRAS
CHI,NA,50795,51395,600,0.
CHI,NA,55655,56095,440,NO-HAY-PALABRAS
CHI,NA,59585,59915,330,0.
CHI,NA,61970,62610,640,0.
CHI,NA,81650,81890,240,NO-HAY-PALABRAS
CHI,NA,82430,82670,240,0.
CHI,NA,133460,133830,370,0.
CHI,NA,135590,135960,370,NO-HAY-PALABRAS
CHI,NA,139150,139690,540,0.
CHI,NA,140905,141265,360,NO-HAY-PALABRAS
CHI,NA,170225,170565,340,NO-HAY-PALABRAS
CHI,NA,174075,174595,520,0.
CHI,NA,174785,177295,2510,0.
CHI,NA,179220,179630,410,NO-HAY-PALABRAS
CHI,NA,181385,181805,420,NO-HAY-PALABRAS
CHI,NA,182595,183535,940,NO-HAY-PALABRAS
CHI,NA,200945,201465,520,NO-HAY-PALABRAS
CHI,NA,208015,208315,300,0.
CHI,NA,219925,220785,860,NO-HAY-PALABRAS
CHI,NA,292055,294155,2100,0.
CHI,NA,294585,296245,1660,0.
comentarios,NA,0,1010,1010,este audio es muy dificil porque hay como 3 o 4 niñ@s
comentarios,NA,13490,14040,550,imitación de un@ herman@?
comentarios,NA,253985,254245,260,NO-HAY-PALABRAS
comentarios,NA,273115,273555,440,NO-HAY-PALABRAS
tlsp@CHI,NA,1050,1620,570,0.
tlsp@CHI,NA,4800,5180,380,0.
tlsp@CHI,NA,8910,9230,320,0.
tlsp@CHI,NA,9790,10410,620,0.
tlsp@CHI,NA,11920,12610,690,0.
tlsp@CHI,NA,15755,16575,820,0.
tlsp@CHI,NA,18725,19005,280,0.
tlsp@CHI,NA,19515,20135,620,0.
tlsp@CHI,NA,22060,22830,770,0.
tlsp@CHI,NA,25845,26125,280,0.
tlsp@CHI,NA,26865,27935,1070,0.
tlsp@CHI,NA,29500,29850,350,0.
tlsp@CHI,NA,50795,51395,600,0.
tlsp@CHI,NA,59585,59915,330,0.
tlsp@CHI,NA,61970,62610,640,0.
tlsp@CHI,NA,82430,82670,240,0.
tlsp@CHI,NA,133460,133830,370,0.
tlsp@CHI,NA,139150,139690,540,0.
tlsp@CHI,NA,174075,174595,520,0.
tlsp@CHI,NA,174785,177295,2510,0.
tlsp@CHI,NA,208015,208315,300,0.
tlsp@CHI,NA,292055,294155,2100,0.
tlsp@CHI,NA,294585,296245,1660,0.
OTR,NA,10,1060,1050,0.
OTR,NA,1520,2100,580,0.
OTR,NA,2230,4090,1860,0.
OTR,NA,4950,6020,1070,0.
OTR,NA,6020,8220,2200,0.
OTR,NA,10755,11475,720,0.
OTR,NA,12560,13350,790,0.
OTR,NA,14710,15610,900,0.
OTR,NA,16625,17295,670,0.
OTR,NA,17945,19295,1350,0.
OTR,NA,20940,21640,700,0.
OTR,NA,23005,23925,920,0.
OTR,NA,24280,25460,1180,0.
OTR,NA,26195,26915,720,0.
OTR,NA,27855,29665,1810,0.
OTR,NA,30550,32100,1550,0.
OTR,NA,44920,48270,3350,0.
OTR,NA,49130,50340,1210,0.
OTR,NA,51970,52750,780,0.
OTR,NA,57975,59565,1590,0.
OTR,NA,59875,61265,1390,0.
OTR,NA,81370,82740,1370,0.
OTR,NA,169570,171860,2290,0.
OTR,NA,174680,178560,3880,0.
OTR,NA,290110,291430,1320,0.
quien@OTR,NA,10,1060,1050,niña.
quien@OTR,NA,1520,2100,580,niña.
quien@OTR,NA,2230,4090,1860,niña.
quien@OTR,NA,4950,6020,1070,niña.
quien@OTR,NA,6020,8220,2200,niña.
quien@OTR,NA,10755,11475,720,niña.
quien@OTR,NA,12560,13350,790,niña.
quien@OTR,NA,14710,15610,900,niña.
quien@OTR,NA,16625,17295,670,niña.
quien@OTR,NA,17945,19295,1350,niña.
quien@OTR,NA,20940,21640,700,niña.
quien@OTR,NA,23005,23925,920,niña.
quien@OTR,NA,24280,25460,1180,niña.
quien@OTR,NA,26195,26915,720,niña.
quien@OTR,NA,27855,29665,1810,niña.
quien@OTR,NA,30550,32100,1550,niña.
quien@OTR,NA,44920,48270,3350,niña.
quien@OTR,NA,49130,50340,1210,niña.
quien@OTR,NA,51970,52750,780,niña.
quien@OTR,NA,57975,59565,1590,niña.
quien@OTR,NA,59875,61265,1390,niña.
quien@OTR,NA,81370,82740,1370,niña.
quien@OTR,NA,169570,171860,2290,niña.
quien@OTR,NA,174680,178560,3880,niña.
quien@OTR,NA,290110,291430,1320,niña.
tlsp@OTR,NA,10,1060,1050,0.
tlsp@OTR,NA,1520,2100,580,0.
tlsp@OTR,NA,2230,4090,1860,0.
tlsp@OTR,NA,4950,6020,1070,0.
tlsp@OTR,NA,6020,8220,2200,0.
tlsp@OTR,NA,10755,11475,720,0.
tlsp@OTR,NA,12560,13350,790,0.
tlsp@OTR,NA,14710,15610,900,0.
tlsp@OTR,NA,16625,17295,670,0.
tlsp@OTR,NA,17945,19295,1350,0.
tlsp@OTR,NA,20940,21640,700,0.
tlsp@OTR,NA,23005,23925,920,0.
tlsp@OTR,NA,24280,25460,1180,0.
tlsp@OTR,NA,26195,26915,720,0.
tlsp@OTR,NA,27855,29665,1810,0.
tlsp@OTR,NA,30550,32100,1550,0.
tlsp@OTR,NA,44920,48270,3350,0.
tlsp@OTR,NA,49130,50340,1210,0.
tlsp@OTR,NA,51970,52750,780,0.
tlsp@OTR,NA,57975,59565,1590,0.
tlsp@OTR,NA,59875,61265,1390,0.
tlsp@OTR,NA,81370,82740,1370,0.
tlsp@OTR,NA,169570,171860,2290,0.
tlsp@OTR,NA,174680,178560,3880,0.
tlsp@OTR,NA,290110,291430,1320,0.
