tier,speaker,start,stop,dur,val
CHI,NA,4040,7030,2990,NO-HAY-PALABRAS
CHI,NA,13980,15140,1160,NO-HAY-PALABRAS
CHI,NA,24130,24440,310,0.
CHI,NA,38095,38385,290,0.
CHI,NA,59640,60460,820,NO-HAY-PALABRAS
CHI,NA,90260,90920,660,NO-HAY-PALABRAS
CHI,NA,95610,96220,610,0.
CHI,NA,100090,100460,370,NO-HAY-PALABRAS
CHI,NA,112225,113105,880,0.
CHI,NA,113535,113735,200,NO-HAY-PALABRAS
CHI,NA,118685,119335,650,NO-HAY-PALABRAS
CHI,NA,119900,120470,570,NO-HAY-PALABRAS
CHI,NA,124025,124355,330,NO-HAY-PALABRAS
CHI,NA,125740,126230,490,NO-HAY-PALABRAS
CHI,NA,126955,127345,390,0.
CHI,NA,129420,129720,300,NO-HAY-PALABRAS
CHI,NA,155620,155830,210,0.
CHI,NA,156695,157065,370,NO-HAY-PALABRAS
CHI,NA,165920,166240,320,0.
CHI,NA,178380,178630,250,0.
CHI,NA,179425,179705,280,0.
CHI,NA,181435,181675,240,NO-HAY-PALABRAS
CHI,NA,194955,195805,850,0.
CHI,NA,196050,196910,860,0.
CHI,NA,197200,198280,1080,0.
CHI,NA,210000,210250,250,0.
CHI,NA,210595,211105,510,NO-HAY-PALABRAS
CHI,NA,211670,212620,950,NO-HAY-PALABRAS
CHI,NA,220395,221020,625,0.
CHI,NA,291380,292100,720,0.
CHI,NA,297120,297840,720,0.
tlsp@CHI,NA,24130,24440,310,0.
tlsp@CHI,NA,38095,38385,290,0.
tlsp@CHI,NA,95610,96220,610,0.
tlsp@CHI,NA,112225,113105,880,0.
tlsp@CHI,NA,126955,127345,390,0.
tlsp@CHI,NA,155620,155830,210,0.
tlsp@CHI,NA,165920,166240,320,0.
tlsp@CHI,NA,178380,178630,250,0.
tlsp@CHI,NA,179425,179705,280,0.
tlsp@CHI,NA,194955,195805,850,0.
tlsp@CHI,NA,196050,196910,860,0.
tlsp@CHI,NA,210000,210250,250,0.
tlsp@CHI,NA,220395,221020,625,0.
tlsp@CHI,NA,291380,292100,720,0.
tlsp@CHI,NA,297120,297840,720,0.
OTR,NA,57880,59030,1150,0.
OTR,NA,95680,97100,1420,0.
OTR,NA,168900,170100,1200,0.
quien@OTR,NA,57880,59030,1150,mujer.
quien@OTR,NA,95680,97100,1420,mujer.
quien@OTR,NA,168900,170100,1200,mujer.
tlsp@OTR,NA,57880,59030,1150,0.
tlsp@OTR,NA,95680,97100,1420,0.
tlsp@OTR,NA,168900,170100,1200,0.
