tier,speaker,start,stop,dur,val
CHI,NA,7490,8230,740,0.
CHI,NA,8380,8680,300,0.
CHI,NA,11240,11620,380,NO-HAY-PALABRAS
CHI,NA,12200,13495,1295,0.
CHI,NA,14145,15600,1455,0.
CHI,NA,19542,19862,320,0.
CHI,NA,28902,29232,330,0.
CHI,NA,56867,57407,540,NO-HAY-PALABRAS
CHI,NA,58227,59297,1070,NO-HAY-PALABRAS
CHI,NA,116652,118092,1440,0.
CHI,NA,119882,121642,1760,0.
CHI,NA,140692,141122,430,NO-HAY-PALABRAS
CHI,NA,141347,141877,530,NO-HAY-PALABRAS
CHI,NA,142462,142882,420,NO-HAY-PALABRAS
CHI,NA,143392,143762,370,NO-HAY-PALABRAS
CHI,NA,156507,156817,310,0.
CHI,NA,157012,157362,350,0.
CHI,NA,160607,160947,340,0.
CHI,NA,221857,222847,990,NO-HAY-PALABRAS
CHI,NA,226552,228432,1880,0.
CHI,NA,249167,250707,1540,0.
CHI,NA,262237,262477,240,0.
CHI,NA,287347,288747,1400,0.
CHI,NA,299250,299840,590,NO-HAY-PALABRAS
comentarios,NA,140596,143861,3265,está riendo.
tlsp@CHI,NA,7490,8230,740,0.
tlsp@CHI,NA,8380,8680,300,0.
tlsp@CHI,NA,12200,13495,1295,0.
tlsp@CHI,NA,14145,15600,1455,0.
tlsp@CHI,NA,19542,19862,320,0.
tlsp@CHI,NA,28902,29232,330,0.
tlsp@CHI,NA,116652,118092,1440,0.
tlsp@CHI,NA,119882,121642,1760,0.
tlsp@CHI,NA,156507,156817,310,0.
tlsp@CHI,NA,157012,157362,350,0.
tlsp@CHI,NA,160607,160947,340,0.
tlsp@CHI,NA,226552,228432,1880,0.
tlsp@CHI,NA,249167,250707,1540,0.
tlsp@CHI,NA,262237,262477,240,0.
tlsp@CHI,NA,287347,288747,1400,0.
OTR,NA,9370,11250,1880,0.
OTR,NA,17502,19372,1870,0.
OTR,NA,19922,22462,2540,0.
OTR,NA,22487,25607,3120,0.
OTR,NA,26692,28682,1990,0.
OTR,NA,155310,156550,1240,0.
OTR,NA,158235,159825,1590,0.
OTR,NA,246607,247657,1050,0.
OTR,NA,251140,254510,3370,0.
OTR,NA,256890,258190,1300,0.
OTR,NA,261015,262205,1190,0.
quien@OTR,NA,9370,11250,1880,niña.
quien@OTR,NA,17502,19372,1870,niña.
quien@OTR,NA,19922,22462,2540,niña.
quien@OTR,NA,22487,25607,3120,niña.
quien@OTR,NA,26692,28682,1990,niña.
quien@OTR,NA,155310,156550,1240,niña.
quien@OTR,NA,158235,159825,1590,niña.
quien@OTR,NA,246607,247657,1050,hombre.
quien@OTR,NA,251140,254510,3370,niña.
quien@OTR,NA,256890,258190,1300,niña.
quien@OTR,NA,261015,262205,1190,niña.
tlsp@OTR,NA,9370,11250,1880,0.
tlsp@OTR,NA,17502,19372,1870,0.
tlsp@OTR,NA,19922,22462,2540,0.
tlsp@OTR,NA,22487,25607,3120,0.
tlsp@OTR,NA,26692,28682,1990,0.
tlsp@OTR,NA,155310,156550,1240,0.
tlsp@OTR,NA,158235,159825,1590,0.
tlsp@OTR,NA,246607,247657,1050,0.
tlsp@OTR,NA,251140,254510,3370,0.
tlsp@OTR,NA,256890,258190,1300,0.
tlsp@OTR,NA,261015,262205,1190,0.
