tier,speaker,start,stop,dur,val
CHI,NA,13055,13755,700,0.
CHI,NA,13855,14855,1000,NO-HAY-PALABRAS
CHI,NA,32775,32985,210,NO-HAY-PALABRAS
CHI,NA,100140,100490,350,0.
CHI,NA,100815,101445,630,NO-HAY-PALABRAS
CHI,NA,152170,152390,220,NO-HAY-PALABRAS
CHI,NA,153980,154560,580,NO-HAY-PALABRAS
CHI,NA,154860,155540,680,NO-HAY-PALABRAS
CHI,NA,155880,156460,580,NO-HAY-PALABRAS
CHI,NA,249520,249860,340,0.
tlsp@CHI,NA,13055,13755,700,0.
tlsp@CHI,NA,100140,100490,350,0.
tlsp@CHI,NA,249520,249860,340,0.
OTR,NA,12570,13310,740,0.
OTR,NA,247120,249020,1900,0.
OTR,NA,249975,250995,1020,0.
quien@OTR,NA,12570,13310,740,mujer.
quien@OTR,NA,247120,249020,1900,mujer.
quien@OTR,NA,249975,250995,1020,mujer.
tlsp@OTR,NA,12570,13310,740,0.
tlsp@OTR,NA,247120,249020,1900,0.
tlsp@OTR,NA,249975,250995,1020,0.
