tier,speaker,start,stop,dur,val
CHI,NA,0,1790,1790,0.
CHI,NA,5730,9100,3370,0.
CHI,NA,9635,10615,980,0.
CHI,NA,10955,11945,990,0.
CHI,NA,12360,13910,1550,0.
CHI,NA,14225,15345,1120,0.
CHI,NA,16985,20555,3570,0.
CHI,NA,21080,22700,1620,NO-HAY-PALABRAS
CHI,NA,23090,24360,1270,0.
CHI,NA,24565,25895,1330,0.
CHI,NA,25970,28800,2830,0.
CHI,NA,29785,30235,450,NO-HAY-PALABRAS
CHI,NA,30770,31762,992,0.
CHI,NA,31762,34135,2373,0.
CHI,NA,34655,36725,2070,0.
CHI,NA,37530,38880,1350,NO-HAY-PALABRAS
CHI,NA,46675,46955,280,0.
CHI,NA,48525,48855,330,0.
CHI,NA,51970,52160,190,NO-HAY-PALABRAS
CHI,NA,53315,53795,480,NO-HAY-PALABRAS
CHI,NA,54705,55325,620,NO-HAY-PALABRAS
CHI,NA,57575,58950,1375,NO-HAY-PALABRAS
CHI,NA,59220,60055,835,NO-HAY-PALABRAS
CHI,NA,60282,61802,1520,NO-HAY-PALABRAS
CHI,NA,62502,63302,800,0.
CHI,NA,63652,65230,1578,0.
CHI,NA,65257,66477,1220,0.
CHI,NA,73467,76317,2850,0.
CHI,NA,78142,78302,160,NO-HAY-PALABRAS
CHI,NA,80398,80980,582,0.
CHI,NA,88152,89102,950,NO-HAY-PALABRAS
CHI,NA,93107,96402,3295,0.
CHI,NA,166518,168088,1570,0.
CHI,NA,169173,171090,1917,NO-HAY-PALABRAS
CHI,NA,171993,172333,340,0.
CHI,NA,173933,174193,260,NO-HAY-PALABRAS
CHI,NA,179043,179403,360,0.
CHI,NA,182683,183623,940,0.
CHI,NA,219563,219973,410,NO-HAY-PALABRAS
CHI,NA,220798,221828,1030,0.
CHI,NA,222073,222413,340,0.
CHI,NA,223213,223623,410,0.
CHI,NA,226528,226848,320,0.
CHI,NA,227738,228408,670,0.
CHI,NA,228683,229283,600,0.
CHI,NA,229903,230513,610,0.
CHI,NA,234968,235238,270,0.
CHI,NA,242078,242405,327,0.
CHI,NA,299178,299508,330,0.
comentarios,NA,12281,15357,3076,no sé qué quizo decir con esto.
comentarios,NA,16985,20555,3570,está cantando.
comentarios,NA,57567,61785,4218,riendo.
comentarios,NA,62502,63302,800,quizás la voz de una hermana mayor?
comentarios,NA,73467,76317,2850,puede ser una hermana mayor?
tlsp@CHI,NA,0,1790,1790,0.
tlsp@CHI,NA,5730,9100,3370,0.
tlsp@CHI,NA,9635,10615,980,0.
tlsp@CHI,NA,10955,11945,990,0.
tlsp@CHI,NA,12360,13910,1550,0.
tlsp@CHI,NA,14225,15345,1120,0.
tlsp@CHI,NA,16985,20555,3570,0.
tlsp@CHI,NA,23090,24360,1270,0.
tlsp@CHI,NA,24565,25895,1330,0.
tlsp@CHI,NA,25970,28800,2830,0.
tlsp@CHI,NA,30770,31762,992,0.
tlsp@CHI,NA,31762,34135,2373,0.
tlsp@CHI,NA,34655,36725,2070,0.
tlsp@CHI,NA,46675,46955,280,0.
tlsp@CHI,NA,48525,48855,330,0.
tlsp@CHI,NA,62502,63302,800,0.
tlsp@CHI,NA,63652,65230,1578,0.
tlsp@CHI,NA,65257,66477,1220,0.
tlsp@CHI,NA,73467,76317,2850,0.
tlsp@CHI,NA,80398,80980,582,0.
tlsp@CHI,NA,93107,96402,3295,0.
tlsp@CHI,NA,166518,168088,1570,0.
tlsp@CHI,NA,171993,172333,340,0.
tlsp@CHI,NA,179043,179403,360,0.
tlsp@CHI,NA,182683,183623,940,0.
tlsp@CHI,NA,220798,221828,1030,0.
tlsp@CHI,NA,222073,222413,340,0.
tlsp@CHI,NA,223213,223623,410,0.
tlsp@CHI,NA,226528,226848,320,0.
tlsp@CHI,NA,227738,228408,670,0.
tlsp@CHI,NA,228683,229283,600,0.
tlsp@CHI,NA,229903,230513,610,0.
tlsp@CHI,NA,234968,235238,270,0.
tlsp@CHI,NA,242078,242405,327,0.
tlsp@CHI,NA,299178,299508,330,0.
OTR,NA,79616,80507,891,0.
OTR,NA,84044,85271,1227,0.
OTR,NA,86690,87872,1182,0.
OTR,NA,170623,172023,1400,0.
OTR,NA,172909,174055,1146,0.
OTR,NA,178308,179099,791,0.
OTR,NA,216635,217263,628,0.
OTR,NA,231644,234899,3255,0.
OTR,NA,293364,295210,1846,0.
quien@OTR,NA,79616,80507,891,niña.
quien@OTR,NA,84044,85271,1227,niña.
quien@OTR,NA,86690,87872,1182,niña.
quien@OTR,NA,170623,172023,1400,niña.
quien@OTR,NA,172909,174055,1146,niña.
quien@OTR,NA,178308,179099,791,niña.
quien@OTR,NA,216635,217263,628,niña.
quien@OTR,NA,231644,234899,3255,niña.
quien@OTR,NA,293364,295210,1846,niña.
tlsp@OTR,NA,79616,80507,891,0.
tlsp@OTR,NA,84044,85271,1227,0.
tlsp@OTR,NA,86690,87872,1182,0.
tlsp@OTR,NA,170623,172023,1400,0.
tlsp@OTR,NA,172909,174055,1146,0.
tlsp@OTR,NA,178308,179099,791,0.
tlsp@OTR,NA,216635,217263,628,0.
tlsp@OTR,NA,231644,234899,3255,0.
tlsp@OTR,NA,293364,295210,1846,0.
