tier,speaker,start,stop,dur,val
CHI,NA,13200,13890,690,0.
CHI,NA,50810,51240,430,NO-HAY-PALABRAS
CHI,NA,108545,109575,1030,0.
CHI,NA,111440,111770,330,0.
CHI,NA,124020,124400,380,NO-HAY-PALABRAS
CHI,NA,128255,128585,330,0.
CHI,NA,146610,147070,460,NO-HAY-PALABRAS
CHI,NA,168250,169430,1180,0.
CHI,NA,179830,180280,450,NO-HAY-PALABRAS
CHI,NA,227335,227765,430,0.
CHI,NA,229460,229830,370,0.
CHI,NA,231715,232245,530,0.
CHI,NA,243320,243820,500,0.
CHI,NA,246700,247110,410,0.
CHI,NA,288465,289325,860,0.
CHI,NA,290685,291175,490,0.
CHI,NA,292760,293340,580,0.
CHI,NA,295305,295970,665,0.
CHI,NA,296605,297065,460,0.
tlsp@CHI,NA,13200,13890,690,0.
tlsp@CHI,NA,108545,109575,1030,0.
tlsp@CHI,NA,111440,111770,330,0.
tlsp@CHI,NA,128255,128585,330,0.
tlsp@CHI,NA,168250,169430,1180,0.
tlsp@CHI,NA,227335,227765,430,0.
tlsp@CHI,NA,229460,229830,370,0.
tlsp@CHI,NA,231715,232245,530,0.
tlsp@CHI,NA,243320,243820,500,0.
tlsp@CHI,NA,246700,247110,410,0.
tlsp@CHI,NA,288465,289325,860,0.
tlsp@CHI,NA,290685,291175,490,0.
tlsp@CHI,NA,292760,293340,580,0.
tlsp@CHI,NA,295305,295970,665,0.
tlsp@CHI,NA,296605,297065,460,0.
OTR,NA,133940,136130,2190,0.
OTR,NA,137710,138670,960,0.
OTR,NA,242355,243315,960,0.
OTR,NA,245625,246685,1060,0.
quien@OTR,NA,133940,136130,2190,mujer.
quien@OTR,NA,137710,138670,960,mujer.
quien@OTR,NA,242355,243315,960,mujer.
quien@OTR,NA,245625,246685,1060,mujer.
tlsp@OTR,NA,133940,136130,2190,0.
tlsp@OTR,NA,137710,138670,960,0.
tlsp@OTR,NA,242355,243315,960,0.
tlsp@OTR,NA,245625,246685,1060,0.
