tier,speaker,start,stop,dur,val
CHI,NA,94980,96040,1060,0.
CHI,NA,97335,97765,430,NO-HAY-PALABRAS
CHI,NA,99750,100420,670,0.
CHI,NA,105125,105595,470,0.
CHI,NA,121250,122360,1110,NO-HAY-PALABRAS
CHI,NA,125065,125485,420,NO-HAY-PALABRAS
CHI,NA,134795,135755,960,0.
CHI,NA,144035,144545,510,NO-HAY-PALABRAS
CHI,NA,147230,148310,1080,NO-HAY-PALABRAS
CHI,NA,152450,152860,410,0.
CHI,NA,182075,182415,340,0.
CHI,NA,183375,183695,320,0.
CHI,NA,185225,185505,280,0.
CHI,NA,186835,187115,280,0.
CHI,NA,188455,188735,280,0.
CHI,NA,189955,190245,290,NO-HAY-PALABRAS
CHI,NA,191350,191690,340,0.
CHI,NA,192880,193220,340,0.
CHI,NA,205820,206260,440,0.
CHI,NA,207550,208490,940,NO-HAY-PALABRAS
CHI,NA,213700,214460,760,NO-HAY-PALABRAS
CHI,NA,219150,219790,640,0.
CHI,NA,222640,223380,740,0.
CHI,NA,228760,229120,360,NO-HAY-PALABRAS
CHI,NA,244360,244930,570,0.
CHI,NA,248395,248735,340,0.
CHI,NA,248855,249215,360,0.
CHI,NA,253505,253855,350,0.
CHI,NA,255850,256220,370,0.
CHI,NA,258385,258915,530,0.
CHI,NA,259200,259500,300,NO-HAY-PALABRAS
CHI,NA,259800,260140,340,NO-HAY-PALABRAS
CHI,NA,263900,264310,410,0.
comentarios,NA,299260,299580,320,NO-HAY-PALABRAS
tlsp@CHI,NA,94980,96040,1060,0.
tlsp@CHI,NA,99750,100420,670,0.
tlsp@CHI,NA,105125,105595,470,0.
tlsp@CHI,NA,134795,135755,960,0.
tlsp@CHI,NA,152450,152860,410,0.
tlsp@CHI,NA,182075,182415,340,0.
tlsp@CHI,NA,183375,183695,320,0.
tlsp@CHI,NA,185225,185505,280,0.
tlsp@CHI,NA,186835,187115,280,0.
tlsp@CHI,NA,188455,188735,280,0.
tlsp@CHI,NA,191350,191690,340,0.
tlsp@CHI,NA,192880,193220,340,0.
tlsp@CHI,NA,205820,206260,440,0.
tlsp@CHI,NA,219150,219790,640,0.
tlsp@CHI,NA,222640,223380,740,0.
