Row,OverallOrder,ChildIntOrder,Child,aclew_id,Media,Status,Include,Sample,CodeName,Notes
50,72,8,M-F08-C01,8179,M-F08-C01_143246_054941_000500,0-Pass1,1,random_5mindur_summer2017,random-6,
51,275,35,M-F08-C01,8179,M-F08-C01_160745_072440_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-2,(inclusive) extension of M-F08-C01_161245_072940.mp4
52,269,29,M-F08-C01,8179,M-F08-C01_161245_072940_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-2,dropped because included in extension: M-F08-C01_160745_072440.mp4
53,270,30,M-F08-C01,8179,M-F08-C01_161401_073056_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,
54,271,31,M-F08-C01,8179,M-F08-C01_161543_073238_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-4,
55,272,32,M-F08-C01,8179,M-F08-C01_161855_073550_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-5,
56,10,1,M-F08-C01,8179,M-F08-C01_164534_080229_000500,1-XunPt1,1,random_5mindur_summer2017,random-7,
57,17,2,M-F08-C01,8179,M-F08-C01_170306_082001_000500,1-XunPt1,1,random_5mindur_summer2017,random-8,
58,59,6,M-F08-C01,8179,M-F08-C01_172346_084041_000500,0-Pass1,1,random_5mindur_summer2017,random-9,
59,273,33,M-F08-C01,8179,M-F08-C01_175111_090806_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-4,
60,274,34,M-F08-C01,8179,M-F08-C01_184115_095810_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-5,
61,38,4,M-F13-C01,7220,M-F13-C01_091829_003334_000500,1-XunPt1,1,random_5mindur_summer2017,random-1,
62,42,5,M-F13-C01,7220,M-F13-C01_092501_004006_000500,0-Pass1,1,random_5mindur_summer2017,random-2,
63,286,35,M-F13-C01,7220,M-F13-C01_095921_011426_000600,0-Pass1,1,highTTG_6mindur_summer2017,extension_tt-1,(inclusive) extension of M-F13-C01_100421_011926.mp4
64,276,25,M-F13-C01,7220,M-F13-C01_100421_011926_000100,0-Pass1,0,highTTG_1mindur_summer2017,tt-1,dropped because included in extension: M-F13-C01_095921_011426.mp4
65,277,26,M-F13-C01,7220,M-F13-C01_100834_012339_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-2,
66,278,27,M-F13-C01,7220,M-F13-C01_100949_012454_000100,0-Pass1,1,highTTG_1mindur_summer2017,tt-3,
67,279,28,M-F13-C01,7220,M-F13-C01_101136_012641_000100,0-Pass1,1,highVAD_1mindur_summer2017,va-1,
