aclew_child_id,segment,age_mo_round,xds_mph,ods_mph,tds_mph,prop_tds,n_spkrs_clip,Sample
0643,extension_tt-1,2,19.056,3.924,15.131999999999998,0.794080604534005,2,Turn taking
0643,tt-1,2,16.14,0,16.14,1,1,Turn taking
0643,tt-2,2,30.6,27.84,2.76,0.09019607843137255,3,Turn taking
0643,tt-3,2,38.82,38.82,0,0,4,Turn taking
0643,tt-4,2,47.160000000000004,32.64,14.52,0.30788804071246817,6,Turn taking
0643,tt-5,2,31.5,31.080000000000002,0.42,0.013333333333333332,4,Turn taking
2109,extension_tt-3,7,2.184,0,2.184,1,1,Turn taking
2109,tt-1,7,37.62,0,37.62,1,1,Turn taking
2109,tt-2,7,19.32,7.38,11.940000000000001,0.6180124223602484,1,Turn taking
2109,tt-3,7,16.68,0.48,16.26,0.974820143884892,1,Turn taking
2109,tt-4,7,8.76,0,8.76,1,1,Turn taking
2109,tt-5,7,10.200000000000001,0.36,9.84,0.9647058823529412,1,Turn taking
2625,extension_tt-2,32,22.644000000000002,17.472,5.184,0.22893481717011127,4,Turn taking
2625,tt-1,32,37.38,15.48,21.9,0.5858747993579454,3,Turn taking
2625,tt-2,32,28.919999999999998,3.7199999999999998,25.2,0.8713692946058091,2,Turn taking
2625,tt-3,32,23.76,1.2,22.56,0.9494949494949495,1,Turn taking
2625,tt-4,32,4.319999999999999,0.6599999999999999,3.66,0.8472222222222223,1,Turn taking
2625,tt-5,32,18.48,4.68,13.8,0.7467532467532468,2,Turn taking
3026,extension_tt-4,36,6.672000000000001,1.944,4.728000000000001,0.7086330935251798,2,Turn taking
3026,tt-1,36,5.82,3,2.76,0.4742268041237113,2,Turn taking
3026,tt-2,36,7.4399999999999995,2.52,4.92,0.6612903225806452,2,Turn taking
3026,tt-3,36,27.900000000000002,11.940000000000001,15.96,0.5720430107526882,2,Turn taking
3026,tt-4,36,5.1000000000000005,0.7799999999999999,4.319999999999999,0.8470588235294116,1,Turn taking
3026,tt-5,36,24.72,13.5,11.22,0.4538834951456311,3,Turn taking
6216,extension_tt-3,27,27.311999999999998,15.996,11.315999999999999,0.41432337434094907,2,Turn taking
6216,tt-1,27,26.88,0.7799999999999999,26.1,0.9709821428571428,1,Turn taking
6216,tt-2,27,25.68,1.26,24.419999999999998,0.9509345794392523,1,Turn taking
6216,tt-3,27,44.88,22.08,22.8,0.5080213903743316,2,Turn taking
6216,tt-4,27,31.8,1.0799999999999998,30.72,0.9660377358490566,2,Turn taking
6216,tt-5,27,6.96,1.2,5.76,0.8275862068965517,1,Turn taking
7176,extension_tt-4,4,19.116,17.352,1.7759999999999998,0.09290646578782172,5,Turn taking
7176,tt-1,4,13.2,0,13.2,1,1,Turn taking
7176,tt-2,4,40.260000000000005,17.22,22.98,0.5707898658718331,2,Turn taking
7176,tt-3,4,10.379999999999999,0,10.379999999999999,1,1,Turn taking
7176,tt-4,4,18,6.359999999999999,11.64,0.6466666666666667,3,Turn taking
7176,tt-5,4,51.48,30.54,20.88,0.40559440559440557,4,Turn taking
7220,extension_tt-1,22,17.292,13.632,3.66,0.21165857043719638,6,Turn taking
7220,tt-1,22,25.919999999999998,16.62,9.3,0.3587962962962963,3,Turn taking
7220,tt-2,22,20.7,3.84,16.8,0.8115942028985509,2,Turn taking
7220,tt-3,22,21.78,13.56,8.22,0.37741046831955927,3,Turn taking
7220,tt-4,22,8.639999999999999,1.0799999999999998,7.5600000000000005,0.8750000000000001,3,Turn taking
7220,tt-5,22,34.559999999999995,25.2,9.3,0.26909722222222227,4,Turn taking
7326,tt-1,14,3.48,0,3.48,1,1,Turn taking
7326,tt-2,14,6.9,1.6199999999999999,5.279999999999999,0.7652173913043477,1,Turn taking
7326,tt-3,14,43.62,38.160000000000004,5.46,0.12517193947730398,4,Turn taking
7326,tt-4,14,16.080000000000002,2.46,13.56,0.8432835820895522,1,Turn taking
7326,tt-5,14,27.96,0,27.96,1,1,Turn taking
8179,extension_tt-2,6,13.02,4.656000000000001,8.363999999999999,0.6423963133640552,4,Turn taking
8179,tt-1,6,71.22,60.779999999999994,10.5,0.14743049705139005,5,Turn taking
8179,tt-2,6,38.94,19.62,19.32,0.49614791987673346,4,Turn taking
8179,tt-3,6,26.7,0.6,26.1,0.9775280898876404,2,Turn taking
8179,tt-4,6,42.839999999999996,13.32,29.58,0.6904761904761905,5,Turn taking
8179,tt-5,6,37.019999999999996,12.299999999999999,24.72,0.6677471636952999,4,Turn taking
8787,extension_tt-2,11,41.519999999999996,26.880000000000003,14.64,0.35260115606936415,2,Turn taking
8787,tt-1,11,26.16,17.16,9,0.3440366972477064,2,Turn taking
8787,tt-2,11,28.86,9,19.86,0.6881496881496882,2,Turn taking
8787,tt-3,11,42.18,32.52,9.72,0.23044096728307256,5,Turn taking
8787,tt-4,11,34.62,26.94,7.68,0.22183708838821492,6,Turn taking
8787,tt-5,11,56.1,34.019999999999996,22.08,0.39358288770053473,5,Turn taking
0643,random-1,2,42.36,41.244,1.1280000000000001,0.02662889518413598,4,Random
0643,random-2,2,7.223999999999999,5.448,1.788,0.24750830564784054,2,Random
0643,random-3,2,39.635999999999996,39.516000000000005,0.12,0.0030275507114744175,6,Random
0643,random-4,2,8.784,8.784,0,0,3,Random
0643,random-5,2,16.188,16.188,0,0,4,Random
0643,random-6,2,8.784,8.328,0.456,0.05191256830601093,4,Random
0643,random-7,2,21.96,21.96,0,0,5,Random
0643,random-8,2,37.62,33.839999999999996,3.7800000000000002,0.10047846889952154,5,Random
0643,random-9,2,45.804,45.635999999999996,0.168,0.0036678019386953103,4,Random
2109,random-1,7,5.016,0,5.016,1,1,Random
2109,random-2,7,12.384,0.312,12.072,0.9748062015503876,1,Random
2109,random-3,7,0,0,0,NaN,0,Random
2109,random-4,7,0,0,0,NaN,0,Random
2109,random-5,7,20.928,19.368000000000002,1.548,0.07396788990825688,2,Random
2109,random-6,7,0.312,0,0.312,1,1,Random
2109,random-7,7,11.303999999999998,0,11.303999999999998,1,1,Random
2109,random-8,7,5.88,0,5.88,1,1,Random
2109,random-9,7,18.276,12.432,5.832,0.31910702560735393,2,Random
2625,random-1,32,1.584,0.192,1.38,0.8712121212121212,1,Random
2625,random-2,32,20.352,5.22,15.131999999999998,0.7435141509433962,2,Random
2625,random-3,32,10.944,5.724,5.22,0.47697368421052627,2,Random
2625,random-4,32,23.376,16.860000000000003,6.516,0.2787474332648871,7,Random
2625,random-5,32,16.956,12.576,4.38,0.25831564048124556,4,Random
2625,random-6,32,8.208,6.744000000000001,1.464,0.1783625730994152,3,Random
2625,random-7,32,20.508,20.508,0,0,3,Random
2625,random-8,32,36.696,33.324,3.3720000000000003,0.09189012426422499,3,Random
2625,random-9,32,14.735999999999999,14.735999999999999,0,0,3,Random
3026,random-1,36,33.720000000000006,27.396,6.324000000000001,0.18754448398576512,4,Random
3026,random-2,36,2.556,0.096,2.472,0.9671361502347418,1,Random
3026,random-3,36,11.76,9.06,2.688,0.2285714285714286,3,Random
3026,random-4,36,0.708,0.708,0,0,2,Random
3026,random-5,36,1.032,0.804,0.228,0.22093023255813954,2,Random
3026,random-6,36,0.336,0,0.336,1,1,Random
3026,random-7,36,32.832,28.704,4.128,0.12573099415204678,4,Random
3026,random-8,36,57.636,52.14,5.484000000000001,0.0951488652925255,4,Random
3026,random-9,36,39.804,38.79600000000001,1.0080000000000002,0.025324088031353633,4,Random
6216,random-1,27,11.088000000000001,0.36,10.74,0.9686147186147186,1,Random
6216,random-2,27,16.919999999999998,0.36,16.548,0.9780141843971631,1,Random
6216,random-3,27,4.0440000000000005,0,4.0440000000000005,1,1,Random
6216,random-4,27,14.676,14.676,0,0,2,Random
6216,random-5,27,0,0,0,NaN,0,Random
6216,random-6,27,23.256,16.692,6.5520000000000005,0.281733746130031,3,Random
6216,random-7,27,18.432000000000002,6.096,12.336,0.6692708333333334,4,Random
6216,random-8,27,16.535999999999998,8.867999999999999,7.668,0.46371552975326563,4,Random
6216,random-9,27,48.14399999999999,47.135999999999996,1.02,0.021186440677966104,4,Random
7176,random-1,4,46.572,43.68,2.892,0.06209739757794383,5,Random
7176,random-2,4,0,0,0,NaN,0,Random
7176,random-3,4,0,0,0,NaN,0,Random
7176,random-4,4,0,0,0,NaN,0,Random
7176,random-5,4,0,0,0,NaN,0,Random
7176,random-6,4,0,0,0,NaN,0,Random
7176,random-7,4,28.956,28.956,0,0,6,Random
7176,random-8,4,47.388,40.5,6.887999999999999,0.14535325398835147,6,Random
7176,random-9,4,49.559999999999995,49.559999999999995,0,0,6,Random
7220,random-1,22,84.228,60.288,23.94,0.28422852258156434,5,Random
7220,random-2,22,72.43199999999999,50.46,21.971999999999998,0.30334658714380386,6,Random
7220,random-3,22,45.78,44.208,1.572,0.034338138925294893,5,Random
7220,random-4,22,64.90799999999999,64.90799999999999,0,0,5,Random
7220,random-5,22,22.92,19.296,3.6239999999999997,0.1581151832460733,6,Random
7220,random-6,22,53.664,53.664,0,0,3,Random
7220,random-7,22,0.636,0.636,0,0,2,Random
7220,random-8,22,48.864000000000004,48.864000000000004,0,0,4,Random
7220,random-9,22,43.955999999999996,42.876,1.0799999999999998,0.024570024570024572,7,Random
7326,random-1,14,69.52799999999999,69.156,0.36,0.005177770107007249,8,Random
7326,random-2,14,12.312,5.712,6.6000000000000005,0.5360623781676414,3,Random
7326,random-3,14,32.688,32.208000000000006,0.48,0.014684287812041116,6,Random
7326,random-4,14,0,0,0,NaN,0,Random
7326,random-5,14,30.36,20.784,9.576,0.3154150197628459,3,Random
7326,random-6,14,19.907999999999998,9.3,10.62,0.5334538878842676,3,Random
7326,random-7,14,0,0,0,NaN,0,Random
7326,random-8,14,1.296,0,1.296,1,1,Random
7326,random-9,14,15.624,0.13199999999999998,15.491999999999999,0.9915514592933947,1,Random
8179,random-1,6,36.708,36.708,0,0,6,Random
8179,random-2,6,36,35.772,0.228,0.006333333333333333,7,Random
8179,random-3,6,30.647999999999996,29.304000000000002,1.344,0.043852779953014884,8,Random
8179,random-4,6,54.815999999999995,54.815999999999995,0,0,9,Random
8179,random-5,6,73.416,72.36,1.0559999999999998,0.014383785550833604,10,Random
8179,random-6,6,46.848,45.635999999999996,1.2120000000000002,0.025870901639344263,7,Random
8179,random-7,6,36.768,32.304,4.476,0.12173629242819843,7,Random
8179,random-8,6,18.372,14.52,3.8520000000000003,0.20966688438928807,7,Random
8179,random-9,6,29.964,26.112000000000002,3.8520000000000003,0.12855426511814178,7,Random
8787,random-1,11,67.152,63.84,3.3120000000000003,0.04932094353109364,6,Random
8787,random-2,11,23.472,19.98,3.4919999999999995,0.14877300613496933,2,Random
8787,random-3,11,0,0,0,NaN,0,Random
8787,random-4,11,6.204000000000001,6.204000000000001,0,0,1,Random
8787,random-5,11,4.4639999999999995,0,4.4639999999999995,1,1,Random
8787,random-6,11,36.144000000000005,21.78,14.364,0.3974103585657371,3,Random
8787,random-7,11,25.344,20.220000000000002,5.136,0.20265151515151514,6,Random
8787,random-8,11,52.536,51.12,1.416,0.0269529465509365,7,Random
8787,random-9,11,61.404,57.623999999999995,3.7800000000000002,0.06155950752393981,6,Random
